periodo,Índice de volumen físico,Act. Secundarias (índice),Act. Terciarias (índice)
May 25 R,107.407876,104.4,106.8
Jun 25 R,104.50353,100.87,107
Jul 25 R,105.661466,101.58,106.9
Ago 25 R,104.822875,101.39,107.4
Sep 25 R,103.226895,99.56,107
Oct 25 R,107.920791,104.81,108.2
Nov 25 R,107.829456,101.45,107.8
Dic 25 R,107.41679,98.38,108
Ene 26 R,100.928378,96.62,107.4
Feb 26 R,100.121986,95.8,107.5
Mar 26 P,106.956932,102.75,108.5
Abr 26 P,106.675953,102.52,109.2
May 26,108.595752,,
